"GO" "genes"
"G2/M transition of mitotic cell cycle" "PRKACA/DYNC1I2/HSP90AA1/RBX1/NOP53/PPP2R1A/CCND1/NEK2/TUBG1/NES/CCNB1/CDK4/ACTR1A/CSNK1D/CCNA2/CETN2/CALM3/RAD21/PLK1/TUBA1A/CKAP5/RCC2/PBX1/TUBB4B/DYNC1H1/DCTN1"
"regulation of posttranscriptional gene silencing" "POLR2B/ELAVL1/ZMPSTE24/POLR2C/DDX5/MAP2K2/DHX9/PPP3CA/HIST1H4H/STAT3/MAP2K1/POLR2A/HIST1H4K/HIST1H4D/HIST1H4A"
"regulation of gene silencing by RNA" "POLR2B/ELAVL1/ZMPSTE24/POLR2C/DDX5/MAP2K2/DHX9/PPP3CA/HIST1H4H/STAT3/MAP2K1/POLR2A/HIST1H4K/HIST1H4D/HIST1H4A"
"response to temperature stimulus" "HSPA5/TPR/YBX3/DNAJA2/ATP2B1/PRKACA/PTGS2/HSP90AA1/DNAJA1/PEBP1/MAPK1/DNAJB6/HSPA9/DNAJB1/THBS1/MYOF/SOD1/AKT1/HSPD1/HIKESHI/BAG3/HSPA13/VCP/DNAJC7/DHX36/HDAC2/COX2/HSBP1"
"negative regulation of mRNA catabolic process" "THRAP3/YBX3/ELAVL1/PABPC1/MAPK14/TARDBP/DHX9/HNRNPD/NOCT/PAIP1"
"DNA geometric change" "MCM2/MCM6/XRCC5/DDX1/CHD4/ASCC3/HNRNPA2B1/TOP2A/DHX9/G3BP1/HMGB2/DHX36/RUVBL2/HMGB1"
"RNA localization to Cajal body" "CCT4/TCP1/NAF1/CCT5/CCT3/EXOSC10/RUVBL2"
"telomerase RNA localization to Cajal body" "CCT4/TCP1/NAF1/CCT5/CCT3/EXOSC10/RUVBL2"
"telomerase RNA localization" "CCT4/TCP1/NAF1/CCT5/CCT3/EXOSC10/RUVBL2"
"RNA localization to nucleus" "CCT4/TCP1/NAF1/CCT5/CCT3/EXOSC10/RUVBL2"
"maturation of 5.8S rRNA" "MTREX/EXOSC7/NOP14/ERI3/RCL1/EXOSC8/EXOSC10/BOP1"
"NLS-bearing protein import into nucleus" "KPNA6/IPO5/TNPO1/KPNA3/KPNB1/KPNA1/NUP35/KPNA4"
"cofactor biosynthetic process" "GCLM/ME1/PTGS2/ENO1/SLC25A1/HIF1A/PGK1/NAMPT/GAPDH/COQ10B/NFE2L2/ACSL3/UROD/PPT1/ACLY/PDHA1/CNDP2/PSAT1/SUCLA2/FPGS/NDUFA9/SOD1/DLAT/HK2/PDXK/DDIT4/STAT3/FASN/PGAM1/IDH2/COX2/PNP"
"nucleosome positioning" "SMARCA5/HIST1H1E/HIST1H1B/H1FX/HIST1H1C/H1F0"
"nucleolar large rRNA transcription by RNA polymerase I" "SMARCB1/NOP53/H2AFY/NCL/NOL11/PWP1"
"nucleotide biosynthetic process" "KARS/ME1/PTGS2/ENO1/MAPK1/SLC25A1/ERH/HIF1A/PGK1/NAMPT/GARS/ATP5F1B/GAPDH/ACSL3/PPAT/DUT/PPT1/ACLY/PDHA1/PARP1/PRPS1/DLAT/AGPAT5/HK2/PRPSAP1/CMPK1/GMPS/VCP/DDIT4/STAT3/FASN/PGAM1/RRM2/IDH2/COX2/PNP/ATP8"
"transcription-coupled nucleotide-excision repair" "POLR2B/RFC2/RBX1/POLR2C/PRPF19/GTF2H3/UBC/DDB1/COPS6/GPS1/UBB/POLR2A/USP7/TCEA1"
"protein-containing complex localization" "NUP160/TPR/RIOK2/NDC1/AP3D1/NUP133/VPS35/TNPO1/POLDIP3/WASL/NUP88/NUP98/SRSF4/SFPQ/SRSF11/HNRNPA2B1/LTV1/NCBP1/ADAM10/ARL3/EIF4A3/RALB/SRSF2/MAGOH/NUP35/IWS1/ABCE1/CPSF2/PA2G4/RCC2/ALYREF/RBM8A"
"cell cycle G2/M phase transition" "PRKACA/DYNC1I2/HSP90AA1/RBX1/NOP53/PPP2R1A/CCND1/H2AFY/NEK2/TUBG1/NES/CCNB1/CDK4/ACTR1A/CSNK1D/CCNA2/CETN2/CALM3/RAD21/PLK1/TUBA1A/CKAP5/RCC2/PBX1/TUBB4B/DYNC1H1/DCTN1"
"chromosome condensation" "ACIN1/NCAPG/SMC4/TOP2A/CCNB1/HIST1H1E/HIST1H1B/H1FX/HIST1H1C/H1F0"
"formation of translation preinitiation complex" "EIF5/EIF4H/EIF2S3/DENR/RPL13A"
"positive regulation of RNA binding" "EIF3D/EIF3E/HNRNPL/CDK9/NCBP1"
"nucleoside phosphate biosynthetic process" "KARS/ME1/PTGS2/ENO1/MAPK1/SLC25A1/ERH/HIF1A/PGK1/NAMPT/GARS/ATP5F1B/GAPDH/ACSL3/PPAT/DUT/PPT1/ACLY/PDHA1/PARP1/PRPS1/DLAT/AGPAT5/HK2/PRPSAP1/CMPK1/GMPS/VCP/DDIT4/STAT3/FASN/PGAM1/RRM2/IDH2/COX2/PNP/ATP8"
"anaphase-promoting complex-dependent catabolic process" "CUL3/UBE2D1/UBE2S/CCNB1/UBC/BUB3/MAD2L1/PLK1/UBB"
"cleavage involved in rRNA processing" "EXOSC7/NOP14/ERI3/RCL1/EXOSC8/RRP36/BOP1"
"positive regulation of protein export from nucleus" "TPR/RIOK2/PRKACA/RBM22/EMD/ANP32B/BAG3"
"ribonucleoside monophosphate metabolic process" "UQCRC1/SDHA/ENO1/NDUFB2/HIF1A/PGK1/PPIF/ATP5F1B/GAPDH/NDUFA8/NDUFA1/PPAT/CCNB1/NDUFA9/SDHC/PARP1/PRPS1/ATP6V1B2/NDUFB9/NDUFC2/HK2/CMPK1/GMPS/UQCRQ/VCP/DDIT4/STAT3/UQCRFS1/PGAM1/NUDT4/NDUFV2/COX2/ND5/ATP8"
"DNA-templated transcription, termination" "ZMPSTE24/XRN2/PAPOLA/PRMT5/CSTF2/GTF2H3/POLR1B/DHX9/NCBP1/CPSF7/CPSF2/NUDT21/CSTF3/POLR2A/SNRPE"
"cellular response to topologically incorrect protein" "CUL3/HSPA5/UFD1/RNF126/FKBP14/CCND1/HSPA9/NFE2L2/SELENOS/UGGT1/TOR1A/TLN1/PDIA6/SRPRB/HYOU1/HSPA13/LMNA/VCP/HSP90B1/CALR/ASNA1/GFPT1/DCTN1"
"chromatin remodeling" "TPR/SMARCE1/SMARCB1/CHD4/HDAC1/DR1/CBX3/NASP/RB1/MTA2/SMARCA5/HIST1H4H/RBBP4/HMGB2/SMARCC1/RUVBL2/HMGB1/HDAC2/TOP1/HIST1H4K/HIST1H4D/HIST1H4A"
"regulation of RNA polymerase II transcriptional preinitiation complex assembly" "PSMC4/PSMC5/PSMC6/DR1/PSMC2/HMGB1"
"positive regulation of telomerase RNA localization to Cajal body" "CCT4/TCP1/NAF1/CCT5/CCT3/RUVBL2"
"ATP-dependent chromatin remodeling" "SMARCE1/SMARCB1/CHD4/HDAC1/NASP/MTA2/SMARCA5/HIST1H4H/RBBP4/SMARCC1/HDAC2/HIST1H4K/HIST1H4D/HIST1H4A"
"alpha-amino acid metabolic process" "GCLM/SARS/P4HA2/PLOD1/MTAP/PLOD3/BLMH/NIT2/ODC1/DLST/GOT1/PRDX4/GOT2/PPAT/GFPT2/MCCC2/PSAT1/FPGS/PYCR2/AASDHPPT/PLOD2/GMPS/ALDH7A1/CKB/CRTAP/P4HB/GFPT1"
"positive regulation of DNA-templated transcription, initiation" "PSMC4/BCLAF1/PSMC5/PSMC6/GTF2B/PSMC2/DHX36/FOSL1"
"regulation of cytoplasmic translation" "YBX3/AARS/DPH5/DHX9/RPL13A/EEF2/DHX36/YTHDF2"
"cellular response to decreased oxygen levels" "PTGS2/ENO1/RBX1/HIF1A/PGK1/BNIP3L/NOP53/NAMPT/NFE2L2/CCNB1/UBQLN1/NPEPPS/AKT1/CCNA2/HYOU1/UBC/LMNA/HIF1AN/ACAA2/UBB/P4HB/OPA1"
"cellular modified amino acid biosynthetic process" "GCLM/PLOD1/PLOD3/NFE2L2/CNDP2/FPGS/ALDH9A1/PLOD2/PTDSS1/ALDH7A1"
"positive regulation of mRNA splicing, via spliceosome" "THRAP3/PRPF19/NUP98/PRDX6/TRA2B/NCBP1/SF3B4"
"oxidative phosphorylation" "UQCRC1/SDHA/NDUFB2/PPIF/ATP5F1B/NDUFA8/NDUFA1/CCNB1/NDUFA9/SDHC/NDUFB9/NDUFC2/UQCRQ/VCP/UQCRFS1/NDUFV2/COX2/ND5/ATP8"
"cellular response to hypoxia" "PTGS2/ENO1/RBX1/HIF1A/PGK1/BNIP3L/NOP53/NFE2L2/CCNB1/UBQLN1/NPEPPS/AKT1/CCNA2/HYOU1/UBC/LMNA/HIF1AN/ACAA2/UBB/P4HB/OPA1"
"DNA packaging" "TPR/MCM2/ACIN1/NAA10/NCAPG/H2AFY/SMC4/TOP2A/NASP/CCNB1/ANP32B/SMARCA5/HIST1H4H/RBBP4/HMGB2/HIST1H1E/HIST1H1B/H1FX/HIST1H1C/NOC2L/H1F0/TSPYL1/HMGB1/HIST1H4K/HIST1H4D/HIST1H4A"
"pyridine-containing compound metabolic process" "ME1/PTGS2/ENO1/HIF1A/PGK1/NAMPT/GAPDH/PGLS/PDHA1/PSAT1/PGD/MDH2/HK2/PDXK/VCP/DDIT4/STAT3/PGAM1/IDH2/PNP"
"regulation of translational initiation" "TPR/DDX1/EIF5/EIF3E/EIF3B/EIF4H/EIF4G2/EIF1B/NCBP1/RPL13A/CDC123/PAIP1/EIF4EBP1/YTHDF2"
"mitochondrial transport" "SLC25A5/TOMM34/VPS35/HSP90AA1/SLC25A1/SAMM50/BNIP3L/PDCD5/MICU1/PITRM1/PPIF/GRPEL1/ATP5F1B/TIMM17A/TIMM10/NMT1/NPEPPS/HSPD1/BAG3/HK2/ACAA2/STAT3/MFF/HSPA4/TOMM20/SLC25A20/OPA1/ATP8/TIMM23"
"sister chromatid cohesion" "NAA10/PPP2R1A/H2AFY/SFPQ/PDS5A/RB1/RAD21/PLK1/FEN1/MCMBP/PHB2"
"oxaloacetate metabolic process" "NIT2/GOT1/GOT2/ACLY/MDH2"
"IRES-dependent viral translational initiation" "PTBP1/EIF3D/EIF3B/EIF3A/DENR"
"regulation of mRNA binding" "EIF3D/EIF3E/HNRNPL/CDK9/EIF4A3"
"positive regulation of cytoplasmic translation" "YBX3/DHX9/EEF2/DHX36/YTHDF2"
"response to epidermal growth factor" "TPR/MAPK1/COL1A1/ZPR1/NCL/PTPN12/IQGAP1/AKT1/EEF1A1/PTPN11"
"cellular response to oxygen levels" "PTGS2/ENO1/RBX1/HIF1A/PGK1/BNIP3L/NOP53/NAMPT/NFE2L2/CCNB1/UBQLN1/NPEPPS/AKT1/CCNA2/HYOU1/UBC/LMNA/HIF1AN/ACAA2/UBB/P4HB/LPAR1/OPA1"
"nucleoside monophosphate metabolic process" "UQCRC1/SDHA/ENO1/NDUFB2/HIF1A/PGK1/PPIF/ATP5F1B/GAPDH/NDUFA8/NDUFA1/PPAT/DUT/CCNB1/NDUFA9/SDHC/PARP1/PRPS1/ATP6V1B2/NDUFB9/NDUFC2/HK2/CMPK1/GMPS/UQCRQ/VCP/DDIT4/STAT3/UQCRFS1/PGAM1/NUDT4/NDUFV2/COX2/ND5/ATP8"
"aspartate family amino acid biosynthetic process" "PLOD1/MTAP/PLOD3/GOT1/GOT2/AASDHPPT/PLOD2"
"protein localization to chromosome, centromeric region" "SPDL1/NDC80/IK/RB1/BUB3/CDT1/RCC2"
"endoplasmic reticulum unfolded protein response" "HSPA5/FKBP14/CCND1/NFE2L2/SELENOS/TLN1/PDIA6/SRPRB/HYOU1/HSPA13/LMNA/VCP/HSP90B1/CALR/ASNA1/GFPT1/DCTN1"
"regulation of telomere maintenance via telomere lengthening" "XRCC5/MAPK1/CCT4/NEK2/TCP1/HNRNPA2B1/PARP1/NAF1/CCT5/CCT3/EXOSC10/DHX36"
"regulation of protein import" "TPR/IPO5/PTGS2/RBM22/MAPK1/PDCD5/ZPR1/MAPK14/TRIM28/BAG3/NOLC1/HDAC3"
"protein targeting to mitochondrion" "TOMM34/HSP90AA1/SAMM50/BNIP3L/PDCD5/PITRM1/GRPEL1/TIMM17A/TIMM10/NPEPPS/HSPD1/BAG3/MFF/HSPA4/TOMM20/TIMM23"
"mitochondrial membrane organization" "SLC25A5/DNAJC11/HSP90AA1/SAMM50/BNIP3L/PDCD5/PPIF/ATP5F1B/IMMT/TIMM10/NMT1/HK2/CALM3/ACAA2/STAT3/HSPA4/TOMM20/OPA1/ATP8"
"mitochondrial ATP synthesis coupled electron transport" "UQCRC1/SDHA/NDUFB2/NDUFA8/NDUFA1/CCNB1/NDUFA9/SDHC/NDUFB9/NDUFC2/UQCRQ/UQCRFS1/NDUFV2/COX2/ND5"
"organelle localization by membrane tethering" "PRKACA/DYNC1I2/HSP90AA1/RAB10/SCFD1/PPP2R1A/YKT6/NEK2/STX12/TUBG1/ACTR1A/USO1/CSNK1D/RALB/CETN2/RAB8B/PLK1/TUBA1A/CKAP5/TUBB4B/DYNC1H1/DCTN1"
"establishment of vesicle localization" "TBC1D23/CUL3/AP3D1/TMED2/SCFD1/SNAP23/NAPA/WASL/YKT6/NCS1/GOSR1/PPP6C/ACTN4/SYT11/TOR1A/RAB1A/USO1/CSNK1D/SEC24D/SAR1B/CALM3/TRAPPC1/TMED10/KIF5B/RAB1B/AP3S1/TRAPPC5/TMED9/RAB11B/DYNC1H1/MYO1C"
"apoptotic mitochondrial changes" "SLC25A5/GCLM/VPS35/BNIP3L/PDCD5/PPIF/CLU/NMT1/AKT1/HSPD1/HK2/LMNA/ACAA2/MFF/PRELID1/OPA1/GPX1/APOPT1"
"positive regulation of viral process" "PABPC1/CHMP2B/SMARCB1/CHMP4B/STAU1/TOP2A/DHX9/CDK9/GTF2B/PPIB/DDB1/RAD23A/P4HB/PPIA"
"ATP synthesis coupled electron transport" "UQCRC1/SDHA/NDUFB2/NDUFA8/NDUFA1/CCNB1/NDUFA9/SDHC/NDUFB9/NDUFC2/UQCRQ/UQCRFS1/NDUFV2/COX2/ND5"
"positive regulation of telomerase activity" "XRCC5/HSP90AA1/MAPK1/CCT4/NEK2/TCP1/HNRNPA2B1/HNRNPD/NAF1"
"RNA phosphodiester bond hydrolysis, exonucleolytic" "EXOSC7/REXO2/DIS3/XRN2/ERI3/EXOSC8/NOCT/EXOSC1/EXOSC10"
"regulation of release of cytochrome c from mitochondria" "PDCD5/PPIF/CLU/AKT1/LMNA/MFF/PRELID1/OPA1/GPX1/APOPT1"
"purine ribonucleoside monophosphate metabolic process" "UQCRC1/SDHA/ENO1/NDUFB2/HIF1A/PGK1/PPIF/ATP5F1B/GAPDH/NDUFA8/NDUFA1/PPAT/CCNB1/NDUFA9/SDHC/PARP1/ATP6V1B2/NDUFB9/NDUFC2/HK2/GMPS/UQCRQ/VCP/DDIT4/STAT3/UQCRFS1/PGAM1/NUDT4/NDUFV2/COX2/ND5/ATP8"
"establishment of protein localization to chromosome" "H2AFY/CCT4/TCP1/CCT5/CCT3/RUVBL2/HIST1H1B"
"establishment of protein localization to mitochondrial membrane" "HSP90AA1/SAMM50/PDCD5/TIMM10/CALM3/HSPA4"
"purine nucleoside monophosphate metabolic process" "UQCRC1/SDHA/ENO1/NDUFB2/HIF1A/PGK1/PPIF/ATP5F1B/GAPDH/NDUFA8/NDUFA1/PPAT/CCNB1/NDUFA9/SDHC/PARP1/ATP6V1B2/NDUFB9/NDUFC2/HK2/GMPS/UQCRQ/VCP/DDIT4/STAT3/UQCRFS1/PGAM1/NUDT4/NDUFV2/COX2/ND5/ATP8"
"regulation of transcription by RNA polymerase I" "ZMPSTE24/SMARCB1/NOP53/H2AFY/NCL/NOL11/PWP1/WDR43"
"global genome nucleotide-excision repair" "RBX1/GTF2H3/RAD23B/PARP1/CETN2/UBC/DDB1/UBB"
"maintenance of protein localization in endoplasmic reticulum" "HSPA5/OS9/KDELR2/RER1/INSIG1"
"protein localization to nucleoplasm" "NOP53/CCT4/TCP1/CCT5/CCT3"
"chromatin assembly or disassembly" "TPR/MCM2/SMARCE1/SMARCB1/H2AFY/NASP/ANP32B/MTA2/SMARCA5/HIST1H4H/RBBP4/HMGB2/HIST1H1E/SMARCC1/HIST1H1B/H1FX/HIST1H1C/NOC2L/H1F0/TSPYL1/HMGB1/HIST1H4K/HIST1H4D/HIST1H4A"
"vesicle localization" "TBC1D23/CUL3/AP3D1/TMED2/SCFD1/SNAP23/NAPA/WASL/YKT6/NCS1/GOSR1/PPP6C/ACTN4/SYT11/TOR1A/RAB1A/USO1/CSNK1D/SEC24D/SAR1B/CALM3/TRAPPC1/TMED10/CDH2/KIF5B/RAB1B/AP3S1/TRAPPC5/TMED9/RAB11B/DYNC1H1/MYO1C"
"telomere maintenance" "RFC2/XRCC5/HSP90AA1/MAPK1/CCT4/NEK2/TCP1/HNRNPA2B1/HNRNPD/PARP1/NAF1/CCT5/HIST1H4H/CCT3/FEN1/EXOSC10/DHX36/USP7/HIST1H4K/HIST1H4D/HIST1H4A"
"ATP metabolic process" "UQCRC1/SDHA/ENO1/NDUFB2/HIF1A/PGK1/PPIF/ATP5F1B/GAPDH/NDUFA8/NDUFA1/CCNB1/NDUFA9/SDHC/PARP1/ATP6V1B2/NDUFB9/NDUFC2/HK2/UQCRQ/VCP/DDIT4/STAT3/UQCRFS1/PGAM1/NDUFV2/COX2/ND5/ATP8"
"organelle transport along microtubule" "AP3D1/HIF1A/MAP1B/RAB1A/LRPPRC/UBB/KIF5B/RAB6A/AP3S1/COPG1/LAMP1/DYNC1H1/OPA1"
"regulation of protein export from nucleus" "TPR/RIOK2/PRKACA/RBM22/EMD/ANP32B/BAG3/IWS1/PTPN11"
"nucleoside triphosphate metabolic process" "UQCRC1/GNAI3/SDHA/ENO1/NDUFB2/HIF1A/PGK1/PPIF/ATP5F1B/GAPDH/NDUFA8/NDUFA1/DUT/CCNB1/NDUFA9/SDHC/PARP1/ATP6V1B2/NDUFB9/NDUFC2/HK2/CMPK1/UQCRQ/VCP/DDIT4/STAT3/UQCRFS1/PGAM1/NDUFV2/COX2/ND5/OPA1/ATP8"
"regulation of telomere maintenance" "XRCC5/MAPK1/CCT4/NEK2/TCP1/HNRNPA2B1/HNRNPD/PARP1/NAF1/CCT5/CCT3/EXOSC10/DHX36/USP7"
"positive regulation of telomere maintenance" "XRCC5/MAPK1/CCT4/NEK2/TCP1/HNRNPA2B1/HNRNPD/NAF1/CCT5/CCT3/DHX36"
"response to decreased oxygen levels" "PTGS2/ENO1/PLOD1/MMP2/SCFD1/RBX1/HIF1A/PGK1/BNIP3L/NOP53/NAMPT/NFE2L2/ACTN4/CCNB1/UBQLN1/THBS1/NPEPPS/AKT1/HSPD1/CCNA2/HYOU1/UBC/PLOD2/MMP14/HK2/LMNA/HIF1AN/HSP90B1/ACAA2/DDIT4/UBB/P4HB/ND5/OPA1"
"purine ribonucleoside triphosphate metabolic process" "UQCRC1/GNAI3/SDHA/ENO1/NDUFB2/HIF1A/PGK1/PPIF/ATP5F1B/GAPDH/NDUFA8/NDUFA1/CCNB1/NDUFA9/SDHC/PARP1/ATP6V1B2/NDUFB9/NDUFC2/HK2/UQCRQ/VCP/DDIT4/STAT3/UQCRFS1/PGAM1/NDUFV2/COX2/ND5/OPA1/ATP8"
"regulation of response to endoplasmic reticulum stress" "HSPA5/ERP29/USP14/NFE2L2/CLU/SELENOS/UBQLN1/OS9/MANF/HYOU1/UBE2G2/UBQLN2/UBE2J1/OPA1"
"intra-Golgi vesicle-mediated transport" "GOLGA5/NAPA/COPE/GOSR1/COPB1/RAB6A/COPG1/COPB2"
"attachment of spindle microtubules to kinetochore" "NDC80/NEK2/CCNB1/RB1/BUB3/RACGAP1/CDT1/RCC2"
"extracellular matrix organization" "TIMP2/FSCN1/PLOD1/COL16A1/B4GALT1/MMP2/LAMB1/CST3/DNAJB6/PLOD3/AEBP1/COL1A1/LOX/FN1/NID1/PRDX4/COLGALT1/PXDN/COL5A1/COL4A2/LAMC1/FLOT1/THBS1/ADAM10/ITGAV/RB1/COL6A1/PLOD2/MMP14/ITGA5/COL6A3/COL1A2/HTRA1/LAMB2/BSG/COL4A1/COL5A2"
"response to hypoxia" "PTGS2/ENO1/PLOD1/MMP2/SCFD1/RBX1/HIF1A/PGK1/BNIP3L/NOP53/NFE2L2/ACTN4/CCNB1/UBQLN1/THBS1/NPEPPS/AKT1/HSPD1/CCNA2/HYOU1/UBC/PLOD2/MMP14/HK2/LMNA/HIF1AN/HSP90B1/ACAA2/DDIT4/UBB/P4HB/ND5/OPA1"
"protein localization to kinetochore" "SPDL1/NDC80/IK/BUB3/CDT1/RCC2"
"viral gene expression" "PTBP1/SMARCB1/EIF3L/EIF3D/EIF3B/EIF3A/HDAC1/TARDBP/EIF3G/DHX9/CDK9/GTF2B/DENR"
"cellular response to nerve growth factor stimulus" "HSPA5/CDC5L/ARPC3/RAB35/ACAP2/DYNC1LI2/EIF4A3/CSNK1D/AKT1/EEF2"
"negative regulation of mRNA processing" "PTBP1/ZC3H14/HNRNPL/C1QBP/SRSF4/HNRNPA2B1/RBM42/CDK9"
"membrane docking" "PRKACA/DYNC1I2/HSP90AA1/RAB10/SCFD1/PPP2R1A/YKT6/NEK2/STX12/TUBG1/ACTR1A/USO1/CSNK1D/RALB/CETN2/RAB8B/PLK1/TUBA1A/CKAP5/TUBB4B/DYNC1H1/DCTN1"
"respiratory electron transport chain" "UQCRC1/SDHA/NDUFB2/SDHB/NDUFA8/NDUFA1/CCNB1/NDUFA9/SDHC/NDUFB9/NDUFC2/UQCRQ/UQCRFS1/NDUFV2/COX2/ND5"
"proteasome assembly" "PSMD11/PSMD9/PSMG2/POMP/PSMG1"
"ribonucleoside triphosphate metabolic process" "UQCRC1/GNAI3/SDHA/ENO1/NDUFB2/HIF1A/PGK1/PPIF/ATP5F1B/GAPDH/NDUFA8/NDUFA1/CCNB1/NDUFA9/SDHC/PARP1/ATP6V1B2/NDUFB9/NDUFC2/HK2/UQCRQ/VCP/DDIT4/STAT3/UQCRFS1/PGAM1/NDUFV2/COX2/ND5/OPA1/ATP8"
"oxidoreduction coenzyme metabolic process" "ME1/PTGS2/ENO1/HIF1A/PGK1/NAMPT/GAPDH/COQ10B/PGLS/PDHA1/NDUFA9/PGD/MDH2/HK2/VCP/DDIT4/STAT3/PGAM1/IDH2/PNP"
"ciliary basal body-plasma membrane docking" "PRKACA/DYNC1I2/HSP90AA1/PPP2R1A/NEK2/TUBG1/ACTR1A/CSNK1D/CETN2/PLK1/TUBA1A/CKAP5/TUBB4B/DYNC1H1/DCTN1"
"purine nucleoside triphosphate metabolic process" "UQCRC1/GNAI3/SDHA/ENO1/NDUFB2/HIF1A/PGK1/PPIF/ATP5F1B/GAPDH/NDUFA8/NDUFA1/CCNB1/NDUFA9/SDHC/PARP1/ATP6V1B2/NDUFB9/NDUFC2/HK2/UQCRQ/VCP/DDIT4/STAT3/UQCRFS1/PGAM1/NDUFV2/COX2/ND5/OPA1/ATP8"
"regulation of signal transduction by p53 class mediator" "KDM1A/ZMPSTE24/PRMT5/NOP53/DDX5/MAPK14/RPL5/PIN1/AKT1/SSRP1/UBB/TAF7/NOC2L/TAF13/CSNK2B/MIF/BOP1/TAF15"
"aspartate family amino acid metabolic process" "PLOD1/MTAP/PLOD3/NIT2/DLST/GOT1/GOT2/AASDHPPT/PLOD2/ALDH7A1"
"regulation of protein import into nucleus" "TPR/IPO5/PTGS2/RBM22/MAPK1/ZPR1/MAPK14/TRIM28/BAG3/NOLC1/HDAC3"
"ncRNA transcription" "POLR2B/SMARCB1/POLR2C/NOP53/H2AFY/NCL/POLR1B/NOL11/PWP1/CDK9/NCBP1/GTF2B/PHAX/POLR2A/TAF13"
"positive regulation of cellular catabolic process" "PSMC4/GNAI3/VPS35/PABPC1/HSP90AA1/PSMC5/KHSRP/RBX1/PSMC6/SPTLC2/HIF1A/BNIP3L/NOP53/CDC37/NFE2L2/CLU/SNX9/UBQLN1/MAP3K7/HNRNPD/CSNK1D/AKT1/RALB/PLK2/MTDH/SCOC/HK2/PSMC2/VCP/PLK1/DHX36/RAD23A/UBQLN2/HMGB1/YTHDF2/RAB12"
"termination of RNA polymerase II transcription" "PAPOLA/CSTF2/NCBP1/CPSF7/CPSF2/NUDT21/CSTF3/SNRPE"
"apoptotic nuclear changes" "ACIN1/KPNB1/KPNA1/TOP2A/HMGB2/FEN1/H1F0/HMGB1"
"spindle localization" "SPDL1/MAP4/NDC80/MYH9/WASL/KPNB1/ACTR3/DYNC1H1/DCTN1"
"regulation of binding" "KDM1A/HSPA5/PRKACA/ZMPSTE24/EIF3D/EIF3E/HNRNPL/GTPBP4/PPP2CA/NEK2/PIN1/DUT/TRIM28/NES/DHX9/CDK9/FAM129B/NCBP1/FLOT1/GTF2B/PPP3CA/RB1/EIF4A3/AKT1/PARP1/RALB/PLK2/CALM3/HMGB2/PLK1/CDT1/RUVBL2/SUMO3/H1F0/HMGB1/HDAC2/CSNK2B"
"cytoskeleton-dependent intracellular transport" "AP3D1/TNPO1/HIF1A/WASL/SFPQ/ACTN4/MAP1B/RAB1A/LRPPRC/ARL3/SOD1/TUBA1A/UBB/KIF5B/RAB6A/AP3S1/COPG1/LAMP1/DYNC1H1/MYO1C/OPA1"
"positive regulation of binding" "KDM1A/EIF3D/EIF3E/HNRNPL/PPP2CA/PIN1/TRIM28/DHX9/CDK9/FAM129B/NCBP1/FLOT1/GTF2B/RB1/PARP1/RALB/PLK2/CALM3/HMGB2/CDT1/H1F0/HMGB1"
"positive regulation of proteasomal protein catabolic process" "PSMC4/PSMC5/RBX1/PSMC6/NOP53/NFE2L2/CLU/UBQLN1/CSNK1D/AKT1/PLK2/PSMC2/VCP/PLK1/RAD23A/UBQLN2"
"positive regulation of establishment of protein localization" "TPR/RIOK2/IPO5/KARS/VPS35/PRKACA/PTGS2/RBM22/MAPK1/HIF1A/EMD/OAZ1/PDCD5/DDX58/ZPR1/PSMD9/GAPDH/MAPK14/TMEM30A/GOLPH3/SPTBN1/CCT4/TCP1/TARDBP/ACSL3/TRIM28/DHX9/NMT1/ANP32B/NPEPPS/HSPD1/CCT5/BAG3/SAR1B/CCT3/MFF/KIF5B/HDAC3/DHX36/HMGB1/PPIA/MYO1C/MIF"
"spindle organization" "TPR/MAP4/NDC80/CHMP2B/MYH9/CHMP4B/PPP2R1A/KPNB1/NEK2/NEK6/TUBG1/CCNB1/CLTC/CSNK1D/PLK2/RACGAP1/VCP/PLK1/HDAC3/CKAP5/DYNC1H1/DCTN1"
"chromatin silencing" "HDAC1/TRIM28/SMARCA5/HIST1H4H/HIST1H1E/HIST1H1B/H1FX/MORF4L1/HIST1H1C/H1F0/HMGB1/HDAC2/HIST1H4K/HIST1H4D/HIST1H4A"
"nucleotide-excision repair, preincision complex assembly" "RBX1/GTF2H3/RAD23B/PARP1/CETN2/UBC/DDB1/UBB"
"positive regulation of telomere maintenance via telomerase" "XRCC5/MAPK1/CCT4/NEK2/TCP1/NAF1/CCT5/CCT3"
"response to nerve growth factor" "HSPA5/CDC5L/ARPC3/RAB35/ACAP2/DYNC1LI2/EIF4A3/CSNK1D/AKT1/EEF2"
"nuclear pore organization" "TPR/NDC1/NUP133/NUP98/NUP35"
"positive regulation of mRNA 3'-end processing" "CCNB1/CDC73/NCBP1/NUDT21/DHX36"
"regulation of protein localization to chromosome, telomeric region" "H2AFY/CCT4/TCP1/CCT5/CCT3"
"establishment or maintenance of cell polarity" "SPDL1/MAP4/FSCN1/HSP90AA1/NDC80/RAB10/MYH9/GOLPH3/AMOTL2/ACTR3/CAP1/MAP1B/ROCK2/RHOB/LMNA/PRKCI/RHOBTB3/ARF6/ARF4/CKAP5/PARVB/PARVA/DCTN1"
